comparison,family,order,quartet,position,arm,mode,request_id,wall_ns,profile_ns,profile_count,eval_ns,token
empty_control,ordinary_layers,BAAB,23,0,B,empty,231,547888833,166.66666666666666,39,143639041.66666666,5991
empty_control,ordinary_layers,BAAB,23,1,A,off,232,547067833,0.0,0,143145666.66666666,5991
empty_control,ordinary_layers,BAAB,23,2,A,off,233,546386541,0.0,0,142497458.33333334,5991
empty_control,ordinary_layers,BAAB,23,3,B,empty,234,547623833,291.6666666666667,39,143172625.0,5991
empty_control,ordinary_layers,BAAB,24,0,B,empty,235,547035125,291.6666666666667,39,143287541.66666666,5991
empty_control,ordinary_layers,BAAB,24,1,A,off,236,548280375,0.0,0,143668458.33333334,5991
empty_control,ordinary_layers,BAAB,24,2,A,off,237,547842334,0.0,0,143309000.0,5991
empty_control,ordinary_layers,BAAB,24,3,B,empty,238,546445291,41.666666666666664,39,142944958.33333334,5991
empty_control,ordinary_layers,BAAB,25,0,B,empty,239,547641042,125.0,39,142921916.66666666,5991
empty_control,ordinary_layers,BAAB,25,1,A,off,240,548067542,0.0,0,143266458.33333334,5991
empty_control,ordinary_layers,BAAB,25,2,A,off,241,546297375,0.0,0,143079416.66666666,5991
empty_control,ordinary_layers,BAAB,25,3,B,empty,242,546827917,250.0,39,143497416.66666666,5991
empty_control,ordinary_layers,BAAB,26,0,B,empty,243,547043666,250.0,39,143061000.0,5991
empty_control,ordinary_layers,BAAB,26,1,A,off,244,546889459,0.0,0,143167833.33333334,5991
empty_control,ordinary_layers,BAAB,26,2,A,off,245,546868125,0.0,0,142560666.66666666,5991
empty_control,ordinary_layers,BAAB,26,3,B,empty,246,548476875,250.0,39,143422125.0,5991
empty_control,ordinary_layers,BAAB,27,0,B,empty,247,546829209,333.3333333333333,39,143252500.0,5991
empty_control,ordinary_layers,BAAB,27,1,A,off,248,547916667,0.0,0,143177250.0,5991
empty_control,ordinary_layers,BAAB,27,2,A,off,249,547664375,0.0,0,143398166.66666666,5991
empty_control,ordinary_layers,BAAB,27,3,B,empty,250,547562166,250.0,39,143386458.33333334,5991
empty_control,ordinary_layers,BAAB,28,0,B,empty,251,546585500,208.33333333333334,39,143160083.33333334,5991
empty_control,ordinary_layers,BAAB,28,1,A,off,252,547475083,0.0,0,143213125.0,5991
empty_control,ordinary_layers,BAAB,28,2,A,off,253,546807084,0.0,0,143315458.33333334,5991
empty_control,ordinary_layers,BAAB,28,3,B,empty,254,547632750,166.66666666666666,39,143169541.66666666,5991
empty_control,ordinary_layers,BAAB,29,0,B,empty,255,547484750,166.66666666666666,39,143359750.0,5991
empty_control,ordinary_layers,BAAB,29,1,A,off,256,547568833,0.0,0,143366083.33333334,5991
empty_control,ordinary_layers,BAAB,29,2,A,off,257,547454875,0.0,0,143203916.66666666,5991
empty_control,ordinary_layers,BAAB,29,3,B,empty,258,547298209,208.33333333333334,39,143392500.0,5991
empty_control,ordinary_layers,BAAB,30,0,B,empty,259,546943917,250.0,39,143380875.0,5991
empty_control,ordinary_layers,BAAB,30,1,A,off,260,545877667,0.0,0,143097583.33333334,5991
empty_control,ordinary_layers,BAAB,30,2,A,off,261,547295666,0.0,0,143303333.33333334,5991
empty_control,ordinary_layers,BAAB,30,3,B,empty,262,546458083,291.6666666666667,39,143163625.0,5991
empty_control,ordinary_layers,BAAB,31,0,B,empty,263,547756125,208.33333333333334,39,143210958.33333334,5991
empty_control,ordinary_layers,BAAB,31,1,A,off,264,545975459,0.0,0,142814750.0,5991
empty_control,ordinary_layers,BAAB,31,2,A,off,265,546389750,0.0,0,143014833.33333334,5991
empty_control,ordinary_layers,BAAB,31,3,B,empty,266,547030666,666.6666666666666,39,142982250.0,5991
family_measurement,cache_construction,ABBA,0,0,A,empty,269,547307667,0.0,1,143493208.33333334,5991
family_measurement,cache_construction,ABBA,0,1,B,active,270,547112209,1791.6666666666667,1,143092166.66666666,5991
family_measurement,cache_construction,ABBA,0,2,B,active,271,547142750,1500.0,1,143509708.33333334,5991
family_measurement,cache_construction,ABBA,0,3,A,empty,272,547486375,0.0,1,143130625.0,5991
family_measurement,cache_construction,ABBA,1,0,A,empty,273,547416542,41.666666666666664,1,143484208.33333334,5991
family_measurement,cache_construction,ABBA,1,1,B,active,274,547313875,2458.3333333333335,1,143107041.66666666,5991
family_measurement,cache_construction,ABBA,1,2,B,active,275,547656458,2000.0,1,143130791.66666666,5991
family_measurement,cache_construction,ABBA,1,3,A,empty,276,545998209,0.0,1,143063083.33333334,5991
family_measurement,cache_construction,ABBA,2,0,A,empty,277,550009875,0.0,1,143962791.66666666,5991
family_measurement,cache_construction,ABBA,2,1,B,active,278,549203125,2333.3333333333335,1,143646333.33333334,5991
family_measurement,cache_construction,ABBA,2,2,B,active,279,549016334,1958.3333333333333,1,143631416.66666666,5991
family_measurement,cache_construction,ABBA,2,3,A,empty,280,548978334,0.0,1,143265000.0,5991
family_measurement,cache_construction,ABBA,3,0,A,empty,281,546530916,0.0,1,143109125.0,5991
family_measurement,cache_construction,ABBA,3,1,B,active,282,547183750,1916.6666666666667,1,143201833.33333334,5991
family_measurement,cache_construction,ABBA,3,2,B,active,283,546784667,2500.0,1,143102666.66666666,5991
family_measurement,cache_construction,ABBA,3,3,A,empty,284,547456125,0.0,1,143250208.33333334,5991
